1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 Tiempo

0.15250558 0.15250558 0.15250558 0.15250558 0.15250558 0.15250558 0.15250558 0.15250558 0.15250558 0.15250558 0.15250558 0.15250558 0.15250558 0.15250558 0.1525051 108

0.09996635 0.092048824 0.092048824 0.092048824 0.092048824 0.092048824 0.090503454 0.090503454 0.089643 0.089643 0.089643 0.08955091 0.08955091 0.08955091 0.089368045 93

0.12802863 0.12802863 0.12602878 0.12602878 0.12602878 0.12602878 0.12602878 0.12602878 0.12602878 0.12602878 0.124415696 0.124415696 0.12414497 0.12414497 0.12414497 133

0.100770175 0.100770175 0.100770175 0.09958106 0.09958106 0.09958106 0.09958106 0.09958106 0.09958106 0.09940034 0.09895253 0.09895253 0.09895253 0.09803909 0.09803909 96

0.13030082 0.12508035 0.12508035 0.12508035 0.12508035 0.12508035 0.12259203 0.12259203 0.12247419 0.12247419 0.12247419 0.12063438 0.12063438 0.12063438 0.12063438 135

0.08909774 0.089093685 0.089093685 0.089093685 0.089093685 0.089093685 0.089093685 0.089093685 0.089093685 0.089093685 0.089093685 0.089093685 0.089093685 0.089093685 0.089093685 123

0.09533614 0.09533614 0.09533614 0.09533614 0.09533614 0.09533614 0.09533614 0.09533614 0.09533614 0.09533614 0.09533614 0.09533614 0.09533614 0.09533614 0.09533614 103

0.11664277 0.11664277 0.11664277 0.11664277 0.11664277 0.11664277 0.11664277 0.11664277 0.11664277 0.11664277 0.11664277 0.11664277 0.11664277 0.11664277 0.11664277 97

0.26945043 0.26945043 0.26945043 0.26945043 0.26945043 0.26945043 0.26945043 0.26945043 0.26945043 0.26945043 0.26945043 0.26945043 0.26945043 0.26945043 0.26945043 160

0.0901885 0.0901885 0.0901885 0.0901885 0.0901885 0.0901885 0.0901885 0.0901885 0.0901885 0.0901885 0.0901885 0.0901885 0.0901885 0.0901885 0.0901885 101

0.13864899 0.13824016 0.13824016 0.13824016 0.13767725 0.13767725 0.13746327 0.13746327 0.13699883 0.13699883 0.13661021 0.13606387 0.13606387 0.1345219 0.1345219 101

0.23236632 0.23236632 0.23236632 0.23236603 0.23236603 0.23236603 0.23236603 0.23236603 0.23236603 0.23236603 0.23236603 0.23236603 0.23236603 0.23236603 0.23236603 110

0.17419028 0.17419028 0.17419028 0.17419028 0.17419028 0.17419028 0.17419028 0.17419028 0.17419028 0.17419028 0.17419028 0.17419028 0.17419028 0.17419028 0.17419028 128

0.1529839 0.15298367 0.15298367 0.15298367 0.15298367 0.15298367 0.15298367 0.15298367 0.15298367 0.15298367 0.15298367 0.15298367 0.15298367 0.15298367 0.15298367 155

0.14146447 0.14146447 0.14146447 0.14146447 0.14146447 0.14146447 0.14146447 0.14146447 0.14146447 0.14146447 0.14146447 0.14146447 0.14146447 0.14146447 0.14146447 86

0.047366798 0.047366798 0.047366798 0.047366798 0.047366798 0.047366798 0.047366798 0.047366798 0.047366798 0.047366798 0.047366798 0.047366798 0.047366798 0.047366798 0.047366798 136

0.15156454 0.15156454 0.15156454 0.15156454 0.15156454 0.15156454 0.15156454 0.15156454 0.15156454 0.15156454 0.15156454 0.15156454 0.15156454 0.15156454 0.15156454 98

0.12271327 0.12271327 0.12271327 0.12271327 0.12271327 0.12271327 0.12271327 0.12271327 0.12271327 0.12271327 0.12271327 0.12271327 0.12271327 0.12271327 0.12271327 101

0.13729525 0.13729525 0.13729525 0.13632303 0.13435227 0.13435227 0.13435227 0.13435227 0.13435227 0.13435227 0.13435227 0.13435227 0.13380736 0.13318777 0.13318777 98

0.15258145 0.14883846 0.14883846 0.14883846 0.14883846 0.14883846 0.14883846 0.14883846 0.14883846 0.14883846 0.14883846 0.14883846 0.14883846 0.14883846 0.14883846 105

0.17534351 0.17193514 0.16903591 0.16903591 0.16903591 0.16903591 0.16903591 0.16903591 0.16871691 0.16871691 0.1673441 0.1673441 0.1673441 0.16722757 0.16639668 107

0.13047439 0.11890036 0.10806447 0.10294151 0.10294151 0.10294151 0.10294151 0.09510213 0.08923912 0.08923912 0.08923912 0.08923912 0.08923912 0.08923912 0.08923912 96

0.11703038 0.10602313 0.105044544 0.105044544 0.09878594 0.09764856 0.09729105 0.09729105 0.09729105 0.09729105 0.09728271 0.09728271 0.09626788 0.09432906 0.09227657 110

0.10642797 0.10642797 0.10455847 0.10455847 0.10223317 0.101822674 0.1008777 0.1008777 0.1008777 0.1008777 0.1008777 0.10018712 0.10018712 0.10018712 0.10018712 100

0.12131691 0.12131691 0.11768055 0.11696261 0.11553174 0.11553174 0.11433381 0.11301094 0.11186224 0.11186224 0.1118204 0.1118204 0.110132635 0.110132635 0.110132635 154

0.22841305 0.22841305 0.22841305 0.22841305 0.22841305 0.22841305 0.22841305 0.22841305 0.22841305 0.22841305 0.22841305 0.22841305 0.22841305 0.22841305 0.22841305 108

0.08190608 0.08190608 0.08190608 0.08190608 0.08190608 0.08190608 0.08190608 0.08190608 0.08190608 0.08190608 0.08190608 0.08190608 0.08190608 0.08190608 0.08190608 92

0.20471638 0.203026 0.2022419 0.20174503 0.20174503 0.20174503 0.20174503 0.20174503 0.20174503 0.20174503 0.20174503 0.20174503 0.20174503 0.20174503 0.2005949 129

0.19550604 0.19550604 0.19550604 0.19550604 0.19550604 0.19550604 0.19550604 0.19550604 0.19550604 0.19550604 0.19550604 0.19550604 0.19550604 0.19550604 0.19550604 102

0.11765361 0.11765361 0.11609918 0.11609918 0.11594796 0.11594796 0.11594796 0.11390227 0.11390227 0.11315137 0.11315137 0.111968815 0.111968815 0.111968815 0.111968815 101

0.25445622 0.25445622 0.25445622 0.25445622 0.25445622 0.25445622 0.25445622 0.25445622 0.25445622 0.25445622 0.25445622 0.25445622 0.25445622 0.25445622 0.25445622 142

0.07719755 0.07719755 0.07719755 0.07719755 0.07719755 0.07719755 0.07719755 0.076986134 0.076986134 0.076909125 0.076909125 0.07667416 0.07667416 0.07667416 0.076619625 164

0.08656973 0.08499819 0.08435792 0.08435792 0.08321673 0.08321673 0.08321673 0.08321673 0.075691044 0.075691044 0.075691044 0.075691044 0.075691044 0.075691044 0.075552166 165

0.27731997 0.27731997 0.27731997 0.27731997 0.27731997 0.27731997 0.27731997 0.27731997 0.27731997 0.27731997 0.27731997 0.27731997 0.27731997 0.27731997 0.27731997 115

0.1485548 0.14612335 0.14533025 0.14505678 0.14505678 0.1447072 0.1447072 0.1447072 0.1447072 0.1447072 0.1447072 0.14363438 0.1431405 0.1431405 0.1431405 109

0.2041511 0.2041511 0.2041511 0.2041511 0.2041511 0.2041511 0.2041511 0.2041511 0.2041511 0.2041511 0.2041511 0.2041511 0.2041511 0.2041511 0.2041511 114

0.19247293 0.19247293 0.19247293 0.19247293 0.19247293 0.19247293 0.19247293 0.19247293 0.19247293 0.19247293 0.19247293 0.19247293 0.19247293 0.19247293 0.19247293 105

0.059401333 0.058340013 0.058340013 0.058340013 0.058340013 0.058340013 0.058130562 0.058130562 0.05663508 0.05663508 0.05663508 0.05663508 0.05663508 0.05663508 0.05663508 93

0.144001 0.144001 0.144001 0.144001 0.144001 0.144001 0.144001 0.144001 0.144001 0.144001 0.144001 0.144001 0.144001 0.144001 0.144001 91

0.17569494 0.17569494 0.17569494 0.17569494 0.17569494 0.17569494 0.17569494 0.17569494 0.17569494 0.17569494 0.17569494 0.17569494 0.17569494 0.17497039 0.17497039 114

0.23919123 0.23473817 0.23473817 0.22018033 0.22018033 0.21542591 0.21542591 0.21542591 0.21542591 0.21301454 0.21301454 0.21301454 0.21301454 0.21301454 0.21209455 105

0.23398131 0.23398107 0.23398107 0.23398107 0.23398107 0.23398107 0.23398107 0.23398107 0.23398107 0.23398107 0.23398107 0.23398107 0.23398107 0.23398107 0.23398107 105

0.11424327 0.11424327 0.11424327 0.114174664 0.112271786 0.112271786 0.112271786 0.112271786 0.11157757 0.11157757 0.11157757 0.11157757 0.111157894 0.111157894 0.111157894 101

0.20067382 0.20067382 0.20067382 0.20067382 0.20067382 0.20052743 0.19688159 0.19688159 0.19688159 0.19642204 0.19642204 0.1947754 0.1947754 0.1947754 0.19421953 112

0.10254693 0.101454675 0.101454675 0.10091573 0.10091573 0.10091573 0.10091573 0.10091573 0.10091573 0.10091573 0.10091573 0.10091573 0.10091573 0.10091573 0.10091573 99

0.17312342 0.17312342 0.17312342 0.17312342 0.17312342 0.17226315 0.17226315 0.17203349 0.17203349 0.17203349 0.17198116 0.17198116 0.17198116 0.17198116 0.17198116 164

0.14541703 0.14541703 0.14233464 0.13979524 0.13979524 0.13979524 0.13979524 0.13979524 0.13979524 0.13979524 0.13979524 0.13979524 0.13979524 0.13830614 0.13830614 101

