1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 Tiempo

601.00214 600.7474 600.7474 598.2632 596.4664 577.8186 554.6013 540.9507 516.434 516.0726 499.89697 499.89697 497.74582 495.45547 495.45547 9

781.924 714.5704 636.6027 569.0843 557.31793 557.31793 557.31793 539.14404 528.8548 504.8126 486.11844 485.7665 479.66882 479.66882 469.08786 8

627.9593 627.9593 627.6053 627.6053 626.7939 625.8271 606.868 606.868 576.0196 576.0196 564.6486 540.35815 529.88617 529.88617 529.67914 8

611.01825 554.79535 544.3754 504.26193 504.26193 500.7402 499.36926 498.6055 498.6055 498.6055 495.8265 492.82654 490.5793 487.8403 478.4607 8

698.1744 645.9832 645.7402 618.50385 618.50385 618.50385 617.53314 587.3081 578.4321 567.9385 545.88196 501.7993 493.6819 490.0024 488.3562 8

577.0512 577.0512 577.0512 565.87506 565.87506 558.8551 557.7995 555.70087 550.5776 550.5776 546.3223 543.0022 525.70483 511.32468 509.71176 8

736.93756 717.4444 717.4444 670.9094 662.2837 646.87103 640.88495 640.88495 640.2941 640.2941 632.9057 623.55853 576.06744 576.06744 572.19507 8

591.9995 591.9995 585.44684 583.89606 546.47644 546.34796 533.6098 533.5059 530.4757 525.1499 515.3654 509.25235 502.13672 491.4502 488.53726 7

684.86383 679.51935 666.2946 666.2946 638.2852 628.2382 628.2382 627.7505 602.4222 602.4222 594.0239 591.9731 584.68976 579.99097 575.14307 8

638.6718 638.6718 580.0347 556.252 556.0358 553.8252 553.8252 552.6519 516.72406 516.72406 516.4366 516.4366 514.4204 514.28906 513.64453 10

643.242 624.68555 573.4946 573.4946 566.79913 566.15546 557.9328 532.39984 527.40704 519.26355 508.72427 490.5543 462.96054 458.2859 458.2859 9

735.9488 735.9488 702.92303 695.8108 695.8108 695.3327 616.9788 611.1756 611.1756 599.9952 552.2085 541.247 535.79346 525.5289 525.5289 8

661.35114 661.35114 642.4733 609.6496 588.0922 557.5053 557.5053 550.9122 542.8775 536.0494 515.2898 515.2898 515.2898 515.2898 511.96793 10

664.5961 622.75116 622.75116 622.75116 622.75116 603.7481 555.6768 540.92413 520.1901 498.4004 497.32336 492.557 491.06693 486.81497 481.95505 8

650.9484 629.3386 629.3386 585.4488 542.06537 541.9191 533.34174 515.0684 514.6792 509.6022 509.6022 509.6022 503.45932 494.31396 489.56177 8

778.62354 778.62354 776.4387 708.54266 566.1066 566.1066 549.71893 543.2043 528.8808 521.8664 499.5215 494.21658 494.21658 494.21658 490.56616 10

713.4285 704.188 701.729 683.31696 677.58673 651.36163 600.6317 600.6317 580.66986 580.66986 553.82605 552.7316 541.2961 536.9379 518.7175 8

764.81476 645.69946 645.69946 633.79755 620.75793 620.75793 612.1318 612.1318 602.85175 592.45605 588.8226 587.70197 581.62787 578.63654 562.6047 7

678.16797 678.16797 672.65985 624.87823 573.78345 553.87775 550.781 539.01385 526.1402 508.81577 508.81577 488.2234 481.02036 481.02036 473.33755 9

734.83527 734.83527 734.83527 717.8344 709.282 622.48083 610.4594 603.68933 593.1198 580.11646 571.85016 571.85016 568.7767 568.7767 568.7767 10

498.78284 441.0155 441.0155 432.16605 429.02963 429.02963 425.48642 404.27957 369.24783 365.46158 365.46158 335.67007 335.67007 334.4186 328.09695 10

705.3225 705.3225 524.49207 514.7187 486.6742 455.667 365.06442 365.06442 365.06442 356.11038 352.70288 319.70618 311.6287 309.4818 309.4818 8

421.3138 421.3138 380.17117 380.17117 380.17117 380.17117 373.61282 343.2131 320.30643 314.7051 314.7051 314.40103 312.6759 312.43164 311.07596 8

629.98816 490.21964 490.21964 394.03622 390.46378 353.23535 345.18262 330.43304 317.7947 315.6515 294.8138 294.34244 294.34244 292.0866 291.27557 8

592.2738 568.66205 556.8677 540.04694 506.45483 423.75772 373.78598 350.35458 350.35458 350.35458 350.35458 347.35416 347.35416 338.32236 335.20212 8

648.61743 612.6705 604.1099 595.64984 595.64984 595.64984 595.64984 581.7067 508.44333 468.55118 425.06778 381.11227 366.82047 366.82047 349.1802 9

546.67474 478.06784 449.9977 414.72635 370.96445 370.96445 368.58212 368.58212 365.00644 363.20898 362.06873 342.19223 342.19223 325.93875 322.60556 8

630.5931 567.6259 567.6259 549.2862 539.5347 507.48544 499.68994 499.68994 499.68994 483.56223 468.8387 456.13693 451.43213 405.53772 384.78598 8

452.14597 421.2522 357.57034 343.18176 318.1877 308.9847 302.79422 302.79422 300.63205 281.35327 280.86057 279.82986 277.55453 276.46777 276.31348 8

458.2744 430.8644 430.8644 394.49203 393.46066 359.51932 350.45163 350.45163 337.92728 337.92728 317.99643 317.99643 313.11758 311.11465 303.90518 8

625.9175 581.94867 581.94867 579.44684 525.35565 478.60703 478.60703 475.19287 467.952 467.952 467.952 467.952 467.952 467.94336 439.20996 10

368.55374 368.55374 356.35953 356.35953 356.35953 356.35953 356.35953 349.73877 335.446 327.28867 312.30185 309.61758 302.7615 296.39453 287.81946 8

597.9553 521.48773 401.37747 401.37747 401.37747 401.37747 391.15405 315.55383 311.76462 300.41956 299.17307 297.44797 289.74 275.3841 255.89153 8

