1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 Tiempo

279.89822 279.89822 272.28232 272.28232 265.79813 263.58267 215.20323 210.0313 210.0313 198.82536 198.82536 198.65782 198.65782 198.52875 198.1873 13

260.03568 255.79472 255.79472 255.79472 250.77264 240.2624 239.56615 237.52245 237.52245 229.18672 227.94464 227.94464 225.74135 213.5515 211.46681 13

270.00668 270.00668 270.00668 256.9147 253.10292 251.83241 251.83241 251.83241 251.83241 251.6106 250.03984 250.03984 248.60112 246.86183 244.53241 14

289.98184 246.90254 242.8283 242.8283 242.8283 242.8283 242.8283 238.62877 228.06932 225.94165 216.51643 207.4378 205.11052 204.38997 200.54814 15

293.25906 283.26138 283.26138 276.35416 276.35416 269.65497 251.76915 238.03455 220.1386 219.77 213.64119 212.56798 211.2914 211.2914 206.2777 13

283.35867 283.35867 283.35867 280.78598 280.78598 277.3093 265.7843 265.7843 244.23224 244.23224 241.86382 229.71301 227.52534 226.46931 226.46931 13

281.92947 280.35764 280.35764 266.00125 266.00125 263.5316 256.98672 256.98672 246.14319 246.14319 246.02818 245.98775 245.87733 244.11577 241.60016 13

281.72543 280.8494 280.8494 274.405 274.405 258.15714 249.2017 248.63399 242.69908 241.11055 241.11055 234.54094 224.72475 221.0027 215.73755 14

281.94608 278.94446 272.6217 259.27756 252.9796 247.26343 242.84142 237.05754 231.61488 231.18553 230.75212 218.47893 218.47893 216.46033 216.46033 14

270.19037 270.19037 266.4181 252.28294 249.0337 247.78748 247.78748 246.6834 246.6834 246.6834 238.46466 238.43547 238.43547 235.14937 232.17786 14

278.28748 278.28748 278.28748 246.16438 244.77815 234.1602 229.58852 221.87587 221.34521 221.34521 221.34521 217.90862 214.45473 210.17462 208.27788 15

273.15247 270.05753 270.05753 267.05884 258.21057 253.57817 243.80823 240.15056 236.61409 214.87553 210.56763 208.73112 201.84985 200.23064 198.54456 13

308.80698 273.1672 271.5477 270.8778 270.8778 248.89787 247.82149 244.44849 240.80693 240.80693 240.2892 238.27185 238.10167 236.65381 228.26337 14

250.33722 250.33722 250.33722 250.33722 241.28902 241.11383 235.85774 227.80763 227.80763 221.06311 221.06311 220.85136 219.81287 219.1952 210.26399 15

267.17523 267.17523 267.17523 247.72528 247.72528 245.96594 245.96594 227.74922 219.34961 218.17834 215.14394 215.14394 212.87494 211.25468 211.25468 14

278.6419 275.48193 271.7532 265.30875 263.3822 263.3822 259.3882 255.79541 255.79541 254.98035 245.41866 241.02205 236.76952 233.47308 233.47308 15

295.16696 295.16696 295.16696 275.91324 273.6713 270.05728 266.05472 261.33423 257.20877 253.70642 252.05475 251.63518 251.63518 250.20268 238.08766 15

258.0963 258.0963 239.22699 234.36995 234.36995 233.38512 233.38512 231.03386 217.1391 212.94214 210.39886 203.59807 202.46529 199.56792 196.0608 15

275.75223 275.75223 238.5772 235.06847 235.06847 230.34962 228.73799 228.73799 228.73799 223.76811 223.76811 221.65965 221.65965 216.11394 205.42201 14

297.83023 297.83023 291.85147 286.02686 278.38562 263.64282 263.64282 263.64282 258.84647 249.89745 249.31728 245.58665 244.93562 243.8384 242.56712 13

229.56319 210.39241 196.132 192.46837 181.26581 167.53853 161.22449 161.22449 160.28918 158.71803 158.71803 153.85594 153.85594 151.54454 148.53282 13

214.96375 203.10262 203.10262 203.10262 203.10262 164.80165 164.80165 164.80165 164.80165 164.80165 163.10545 157.654 157.654 157.654 157.31377 13

232.59082 228.86237 224.49652 224.49652 213.3244 194.84491 187.84431 186.62898 185.41557 185.41557 177.73505 176.76146 166.79347 166.11336 161.82318 13

287.36148 179.15828 179.15828 178.19849 178.19849 177.16943 177.16943 174.0272 169.57884 169.57884 162.30934 162.30934 159.32173 155.20178 155.20178 14

205.03528 205.03528 171.54378 171.54378 171.54378 171.54378 169.0279 169.0279 169.0279 169.0279 168.62917 168.62917 168.62917 167.39476 167.27849 14

238.6281 219.33223 204.75655 195.41516 191.09547 178.75398 175.48401 170.3583 169.64725 166.82205 163.40582 163.40582 160.36427 158.28618 155.27135 14

211.60938 192.29858 190.29852 190.29852 182.96222 160.81242 152.88217 152.88217 152.88217 145.33302 143.98247 141.29475 137.02507 135.75879 134.32549 14

252.47823 250.145 208.64915 205.56036 199.56844 198.35573 194.55077 194.55077 189.64366 188.46509 172.98067 172.1327 172.1327 172.1327 171.6902 15

195.79895 195.26355 188.27376 183.38177 182.87129 174.76155 168.3769 163.13916 160.29063 156.75262 156.75262 156.75262 155.67268 146.39777 144.20345 14

163.76176 163.76176 162.81673 162.81673 162.81673 162.81673 162.81673 144.88841 142.31883 140.99873 140.72499 140.72499 137.705 137.29982 137.29982 15

245.68086 245.68086 245.68086 235.5478 235.5478 200.44923 200.44923 199.88428 199.63228 199.63228 194.8208 193.14253 188.67836 187.1638 170.74548 13

247.14337 238.92749 213.0691 184.7663 175.66754 175.66754 175.30841 175.30841 170.66402 168.97313 161.22444 156.91235 156.48552 156.16316 151.38695 13

187.15858 187.15858 161.73164 161.73164 161.73164 157.30943 149.45941 144.84906 144.84906 143.35078 132.9059 132.82532 132.03845 131.1891 130.02821 14

235.66454 226.58112 204.36482 170.04567 170.04567 169.98198 168.87323 166.82971 160.61736 160.61736 160.61736 159.06676 158.11397 152.9808 149.9376 13

226.49995 223.6168 223.6168 221.46185 214.13158 208.16254 207.75218 205.75676 199.44739 197.753 192.6403 189.92271 178.53203 170.23882 169.19289 14

210.39436 209.47386 185.91426 183.90948 183.90948 165.65706 144.87569 144.00224 144.00224 144.00224 142.48445 140.25148 140.0378 139.1701 133.98616 14

218.99042 218.99042 218.99042 198.1114 198.1114 197.92232 192.27855 190.35815 189.68336 189.68336 189.68336 189.68336 182.8097 180.73402 175.80495 14

218.71837 218.71837 218.11023 194.3748 174.51347 174.51347 173.17787 167.45235 165.84784 164.54643 156.05371 153.8376 153.52394 153.52394 151.1692 13

232.67578 215.11403 206.59448 203.66492 203.66492 203.66492 203.66492 202.14445 200.74467 192.21748 186.02855 183.60358 181.55525 181.55525 181.55525 14

259.34622 206.56477 178.38881 169.60963 169.60963 169.60963 158.19269 153.1418 153.1418 152.98466 148.02367 145.72955 144.63545 122.34064 122.34064 13

193.35185 191.30237 191.30237 184.33899 179.05229 179.05229 178.28596 178.28596 177.75655 177.69545 170.25789 169.9175 169.9175 168.6463 165.06554 13

202.7387 191.3944 191.3944 164.44597 164.44597 164.44597 164.44597 164.44597 164.44597 164.44597 162.15941 137.54408 136.80635 131.24287 131.24287 13

148.19202 148.19202 148.19202 131.83817 131.83817 131.83817 131.83817 131.83817 123.66726 123.66726 123.66726 123.66726 117.8729 113.187836 112.202065 14

182.92632 177.51323 177.51323 168.687 168.47174 164.81029 140.08632 140.08632 140.08632 139.90953 139.90324 131.20235 129.10886 129.10886 126.56528 13

185.81706 185.81706 185.81706 183.65938 153.73946 153.73946 153.73946 153.73946 153.73946 145.48158 145.11603 145.10167 143.60289 141.01663 141.01663 13

205.27547 201.30157 190.00981 190.00981 180.27547 180.27547 179.9692 179.9692 176.5271 174.65175 174.65175 174.65175 174.65175 167.90138 164.42857 13

206.18822 206.18822 206.18822 203.51428 203.51428 173.63344 145.82753 145.82753 145.82753 145.82753 138.12497 132.65863 124.23834 123.52856 122.96 13

193.58044 175.95483 175.95483 172.45471 172.45471 168.01875 157.04796 153.0384 147.62512 138.16843 138.16843 138.16843 137.42969 132.69966 132.16261 15

267.68875 260.95032 247.18433 191.91743 191.91743 189.49522 189.49522 188.42348 188.42348 183.19751 172.98212 162.62547 162.62547 161.62929 158.37958 15

196.03033 196.03033 196.03033 189.32503 175.1225 174.70247 168.81694 168.81694 168.63036 168.1002 166.37134 156.68413 150.9901 150.3595 150.3595 14

170.34938 168.9162 162.36308 162.36308 159.34032 159.11102 130.9922 130.9922 129.25389 126.70388 126.34863 126.34863 126.34863 126.32584 121.77062 13

198.13574 198.13574 185.39803 185.39803 185.39803 181.31805 165.1781 159.42133 141.27032 141.27032 129.04282 121.0942 121.0942 120.721375 119.7553 14

254.30748 250.66975 238.618 200.60872 183.67247 183.05318 183.05318 166.1422 164.90694 146.09175 139.55382 139.36667 115.49117 113.15652 109.72561 14

180.19812 180.19812 176.2832 174.5345 174.5345 168.39606 168.39606 156.06068 156.06068 151.70494 151.70494 149.67719 148.25423 147.38799 146.16254 15

205.24481 205.24481 194.89868 194.62152 194.17535 174.78526 174.78526 170.7993 170.7993 156.52698 146.01912 137.26208 134.34923 126.51171 120.74619 14

180.09688 180.09688 180.09688 180.09688 180.09688 176.69038 161.33989 161.33989 147.87286 147.87286 147.87286 147.87286 147.87286 147.87286 146.58458 13

199.63799 198.41853 195.7365 184.76764 184.76764 182.92531 174.92523 171.63304 159.229 142.83168 142.83168 134.94069 131.95674 130.57704 130.31152 13

199.45396 199.45396 197.05058 172.1902 156.59233 156.59233 149.47406 149.47406 149.47406 143.7627 143.7627 132.86324 131.61969 130.79604 122.01516 15

229.07227 229.07227 229.07227 229.07227 204.92834 193.43701 159.05579 159.05579 159.05579 159.05579 159.05579 159.05579 158.13551 157.31587 146.79942 14

